FCAM.L,STMM
BWNG.L,STMM
CTY.L,STMM
DCG.L,STMM
SDL.L,STMM
KFX.L,STMM
WTAN.L,STMM
FPM.L,AMSM
RNK.L,STMM
3IN.L,STMM
BYG.L,STMM
DPLM.L,SSMM
CLDN.L,STMM
LONR.L,SSMM
STHR.L,STMM
JAM.L,STMM
CINE.L,SSMM
PCT.L,STMM
JII.L,STMM
CCC.L,STMM
YELL.L,SSMM
ELTA.L,STMM
DTY.L,STMM
MNKS.L,STMM
GFRD.L,SSMM
BOK.L,STMM
MEC.L,SSMM
WLF.L,SSMM
PGD.L,AMSM
KENZ.L,SET3
AGQ.L,AIMI
UTG.L,STMM
TEP.L,STMM
BTEM.L,STMM
AMER.L,AMSM
DSC.L,SSMM
HBR.L,SSMM
RPS.L,STMM
SCIN.L,STMM
XCH.L,SSMM
LRD.L,STMM
VAA.L,SSMU
BAG.L,STMM
JRS.L,STMM
SEY.L,AMSM
IDH.L,AMSM
SVS.L,STMM
JSM.L,AMSM
SKS.L,STMM
FOGL.L,AMSM
QQ..L,STMM
HLCL.L,SSMM
TNI.L,SSMM
CTH.L,AMSM
SBT.L,SSMM
E2V.L,SSMM
KCOM.L,SSMM
DEMG.L,AIM
ALN.L,SSMM
HRI.L,STMM
RAT.L,STMM
SYR.L,STMM
QED.L,SSMM
BSET.L,STMM
JMG.L,STMM
KIE.L,STMM
PVCS.L,SSMM
BNKR.L,STMM
UKCM.L,STMM
ASL.L,STMM
TMPL.L,STMM
MRCH.L,STMM
BRAM.L,SSMM
BRW.L,STMM
TRY.L,STMM
HILS.L,SSMM
HGT.L,SSMM
FSV.L,STMM
SFR.L,SSMM
CWK.L,STMM
MNZS.L,SSMM
WIN.L,SSMM
GCM.L,AMSM
HMV.L,SET3
MAYG.L,AMSM
RDW.L,STMM
LOOK.L,SSMM
PURE.L,AIM
MSLH.L,SSMM
VOG.L,AMSM
FDSA.L,STMM
NYO.L,AMSM
CAZA.L,ASQ1
WKP.L,SSMM
WWH.L,SSMM
